# stack area ntrue nmarginal ra_stk dec_stk nobs observations
acisfJ0021282m020404_001 460.8 12 4 5.3675387154 -2.0680546271 1 03017_000
acisfJ0021330p004254_001 309.0 12 2 5.3876656309 0.715275976399 1 05649_001
acisfJ0022280p012338_001 456.8 22 3 5.6168503214 1.3939266039 1 02098_004
acisfJ0022333p002037_001 456.5 94 29 5.6387628697 0.343803803088 1 02252_000
acisfJ0023052m275548_001 452.1 19 6 5.7717342596 -27.9300375952 1 11354_000
acisfJ0023125m010340_001 453.3 5 2 5.8024912544 -1.0612344737 1 04079_000
acisfJ0023174p092255_001 473.6 25 9 5.82307879511 9.3858869798 2 12464_000,14363_001
acisfJ0023387p614122_001 444.4 16 0 5.9113558948 61.6895562315 1 07524_000
acisfJ0023509p042255_001 380.1 71 18 5.9623443991 4.3820249629 1 07914_000
acisfJ0023544m720422_001 454.5 169 32 5.97696237908 -72.0729809924 5 00078_000,00953_000,00954_000,00955_000,00956_000
acisfJ0024105m015612_001 454.1 21 7 6.0440935956 -1.9367941026 1 02099_000
acisfJ0024178m720500_001 439.6 361 66 6.07458163666 -72.0835793321 8 02735_000,02736_000,02737_000,02738_000,03384_000,03385_000,03386_000,03387_000
acisfJ0024259m015841_001 455.0 49 13 6.1079740171 -1.9781654357 1 08918_000
acisfJ0025073p640942_001 449.6 16 16 6.2805805699 64.1618470424 1 00115_000
acisfJ0025220p640831_001 329.4 92 17 6.34193882159 64.1419586652 11 07639_000,08551_000,10093_000,10094_000,10095_000,10096_000,10097_000,10902_000,10903_000,10904_000,10906_000
acisfJ0025277m121927_001 376.6 49 19 6.3657084806 -12.3242648764 1 05010_000
acisfJ0025337p682126_001 453.2 11 1 6.3905353492 68.3574316367 1 12862_000
acisfJ0025384m122430_001 467.6 102 24 6.41132122679 -12.4072846687 4 03251_001,10413_000,10786_000,10797_000
acisfJ0025402m771522_001 122.5 10 0 6.4177310476 -77.2563853553 1 12337_000
acisfJ0026318p170744_001 299.8 28 4 6.6325468988 17.1289919261 1 07717_000
acisfJ0026318p171054_001 462.2 66 12 6.6325862446 17.1818581243 1 00929_000
acisfJ0026547p185506_001 455.4 42 17 6.72824017 18.9184853658 1 04409_000
acisfJ0027342p262120_001 450.4 47 10 6.8926930101 26.3558079866 1 14012_000
acisfJ0027345m013525_001 458.8 21 2 6.8941005336 -1.5904054409 1 02100_000
acisfJ0027412p261930_001 382.4 28 5 6.9220721284 26.3251877172 1 03249_000
acisfJ0027425p050306_001 306.2 67 19 6.9271030219 5.0518956016 1 02579_001
acisfJ0027546p221932_001 458.6 42 14 6.9776840939 22.3256566078 1 09925_000
acisfJ0027595p003021_001 455.9 6 10 6.9982863145 0.506088098899 1 04080_000
acisfJ0028277m753549_001 382.0 59 22 7.115768974 -75.5971865138 1 14390_000
acisfJ0029037p593400_001 41.7 4 0 7.26473505363 59.5675507878 5 06179_000,06180_000,06181_000,06570_000,07394_000
acisfJ0030320p262130_001 377.2 46 14 7.6337019973 26.3584830022 1 05762_000
acisfJ0030572m275557_001 78.8 7 1 7.7387055151 -27.9326696861 1 04869_000
acisfJ0031353p003455_001 452.0 24 6 7.8974913047 0.582071087165 1 02101_000
acisfJ0032447p393441_001 628.0 81 27 8.18650351904 39.5782763377 2 09525_000,12991_000
acisfJ0033207m433603_001 452.4 64 14 8.3363946233 -43.6008662769 1 07020_000
acisfJ0033316m213938_001 455.4 8 3 8.3819416578 -21.6606241807 1 03349_000
acisfJ0033448m432130_001 451.0 75 18 8.436739892 -43.3583679706 1 07017_000
acisfJ0033500m632951_001 373.9 35 12 8.4585224537 -63.4977009955 1 13483_000
acisfJ0034003m094222_001 460.6 16 1 8.5014693879 -9.7063389852 1 13003_001
acisfJ0034138p392427_001 296.7 27 6 8.5578814483 39.4076601525 1 09241_000
acisfJ0034139m010127_001 457.8 6 0 8.5581019478 -1.0243206878 1 06693_000
acisfJ0034150m212550_001 134.3 15 4 8.56289655139 -21.4307724464 1 02192_000
acisfJ0034377m433700_001 449.6 46 15 8.6573589634 -43.6167695077 1 07019_000
acisfJ0035137m432124_001 447.5 69 20 8.8074319557 -43.3567858608 1 07016_000
acisfJ0035276m201757_001 374.7 48 8 8.8651677156 -20.2993545918 1 03262_000
acisfJ0035499m431206_001 383.9 74 17 8.9582226739 -43.2018086392 1 11721_000
acisfJ0035508m433654_001 575.5 68 16 8.96119465208 -43.6154057478 2 07018_000,07328_000
acisfJ0035515p011250_001 228.7 28 9 8.9649171206 1.2141224954 1 15015_000
acisfJ0036051p182432_001 453.1 36 12 9.0215020882 18.4091431128 1 02551_000
acisfJ0036055p183811_001 86.9 2 0 9.0230699983 18.6364562452 1 09242_000
acisfJ0036525m333326_001 458.3 58 21 9.2190821024 -33.5573374769 1 08175_001
acisfJ0036586p091159_001 381.5 34 5 9.2443796954 9.1997630877 1 03250_000
